Question,Answer
What is the main focus of About KUET at KUET?,"Khulna University of Engineering & Technology (KUET) is one of the leading public universities of Bangladesh focusing on Engineering and Technological Education and research. It aims to achieve excellence in education, research, and progression to address the country's needs, particularly in the South-Western region, and aims to be a 'Center of Excellence'."
What is the main focus of History at KUET?,"KUET, Bangladesh was established in 1967 as Khulna Engineering College. It began its journey on 3 June 1974 following directions from Bangabandhu Sheikh Mujibur Rahman. It became an autonomous institute named Bangladesh Institute of Technology (BIT), Khulna in July 1986, and was later upgraded and renamed as KUET in September 2003."
What is the main focus of Academic Programs at KUET?,"KUET offers undergraduate and postgraduate engineering education, and postgraduate degrees in basic sciences. Approximately 5240 students study in 20 departments under 3 faculties. The undergraduate program enrolls about 1065 students annually through a competitive admission test. It also offers graduate studies and research in various programs, including M.Sc, M.Sc Engg, M.Phil, and Ph.D."
What is the main focus of Campus at KUET?,"The university campus is located at the North-West corner of Khulna City Corporation, about 12 Km from the city center. It covers an area of 101 acres with vast greenery."
What is one of the graduate/postgraduate degrees offered by KUET in Graduate Degrees?,B.Sc. in Civil Engineering (B.Sc. Eng. CE)
What is one of the graduate/postgraduate degrees offered by KUET in Graduate Degrees?,B.Sc. in Electrical & Electronic Engineering (B.Sc. Eng. EEE)
What is one of the graduate/postgraduate degrees offered by KUET in Graduate Degrees?,B.Sc. in Mechanical Engineering (B.Sc. Eng. ME)
What is one of the graduate/postgraduate degrees offered by KUET in Postgraduate Degrees?,M.Sc. in Engineering (various disciplines)
What is one of the graduate/postgraduate degrees offered by KUET in Postgraduate Degrees?,"M.Sc. in Mathematics, Chemistry, Physics"
What is one of the graduate/postgraduate degrees offered by KUET in Postgraduate Degrees?,"M.Phil. in Mathematics, Chemistry, Physics"
What is one of the graduate/postgraduate degrees offered by KUET in Postgraduate Degrees?,Ph.D. in various engineering and science disciplines
What is one of the graduate/postgraduate degrees offered by KUET in Departments?,Civil Engineering
What is one of the graduate/postgraduate degrees offered by KUET in Departments?,Urban and Regional Planning
What is one of the graduate/postgraduate degrees offered by KUET in Departments?,Building Engineering & Construction Management
